gate_id,parent_id,type,channel_x,channel_y,points,population
Gate_G,root,polygon,CD117 PE-A,CD45 APC-A750-A,"[[0.60134530987, 0.189184987856], [0.959049325464, 0.10157146288], [0.983941215667, 0.113977330289], [0.983681639775, 0.873474809631], [0.966862125373, 0.804044234089], [0.858263538532, 1.048149931599], [0.597161823417, 1.170623020724], [0.489159344474, 1.085019920843], [0.356262209019, 0.939381567427], [0.27694565802, 0.806027283971], [0.372410541845, 0.67551236866], [0.39653293091, 0.628630008779], [0.455461171924, 0.453973096548], [0.492246297786, 0.387601266948]]",G
Gate_H,root,polygon,CD34 ECD-A,CD45 APC-A750-A,"[[0.332329715958, 0.75187394641], [0.364082454551, 0.562462640045], [0.418464985486, 0.447376280855], [0.435603882868, 0.426658471396], [0.745958437687, 0.292820342178], [0.787950804579, 0.267014210555], [1.38795644305, 0.457709772033], [1.311535930753, 0.638912112207], [0.867421227561, 1.267087069317], [0.652261023883, 1.375525846898], [0.211983919447, 1.261385756003], [0.107459256695, 0.937267302984], [0.131330391818, 0.915670890964], [0.292827945174, 0.805472408594]]",H
001__C__SSC-A__CD45_APC-A750-A,root,polygon,SSC-A,CD45 APC-A750-A,"[[0.777991261795, 0.892103439101], [0.872171031026, 0.915475251994], [0.801814507669, 0.936044531802], [0.725949874766, 0.960193241449], [0.635883216914, 0.947976295557], [0.630179016511, 0.945865418876], [0.565010304348, 0.91063270382], [0.555021326137, 0.892313582506], [0.59940968471, 0.8584196827], [0.611580464004, 0.853106946931], [0.653636013249, 0.858134682529], [0.662675076987, 0.860982005384]]",C
001__Mono__SSC-A__CD45_APC-A750-A,root,polygon,SSC-A,CD45 APC-A750-A,"[[0.366273465737, 0.8723982995], [0.377705416993, 0.858507363459], [0.400027488243, 0.838162675585], [0.402967535119, 0.836956364821], [0.407860583346, 0.839940346579], [0.415153447896, 0.844929151249], [0.480867188283, 0.91802835731], [0.491689334228, 0.941151161516], [0.478686591086, 0.944532891559], [0.454366049889, 0.949313566079], [0.448665581077, 0.947603377815], [0.393170315173, 0.908121841248], [0.372821439995, 0.888310815964]]",Mono
001__Lym__SSC-A__CD45_APC-A750-A,root,polygon,SSC-A,CD45 APC-A750-A,"[[0.452077171957, 1.005769725706], [0.429851659406, 1.018247798288], [0.361879393056, 0.989434547721], [0.29326480372, 0.960339026612], [0.174170921404, 0.89636632193], [0.155426394994, 0.88558141669], [0.143560808631, 0.865792284455], [0.142123936699, 0.857805840352], [0.14451125833, 0.833251083125], [0.145598803782, 0.828021159538], [0.166697277027, 0.811747666415], [0.191574491585, 0.808568115866], [0.226915904151, 0.809228259444], [0.24376297411, 0.81135776769], [0.321089342199, 0.821605984478], [0.32459813026, 0.823319923882], [0.374572187573, 0.852186309468], [0.468524488051, 0.947527370445], [0.475414042921, 0.956013036254], [0.477572612473, 0.965864112893], [0.457870253181, 0.99718679879]]",Lym
001__Gra__SSC-A__CD45_APC-A750-A,root,polygon,SSC-A,CD45 APC-A750-A,"[[0.341936904494, 0.803400417082], [0.344073731671, 0.738624307145], [0.454094235728, 0.69803344704], [0.482130574212, 0.69256841555], [0.525842256427, 0.689908742363], [0.535340388827, 0.703402660712], [0.614763333101, 0.824047191279], [0.635173193045, 0.844213658644], [0.615166719569, 0.861565915189], [0.598583299112, 0.877025505354], [0.567703438027, 0.90374989221], [0.543281387561, 0.915719711506], [0.468493665842, 0.916093775116], [0.466993459472, 0.915046095148], [0.427434433263, 0.88261370863], [0.371196213277, 0.83350411792], [0.357846560187, 0.821612931367]]",Gra
001__F__SSC-A__CD45_APC-A750-A,root,polygon,SSC-A,CD45 APC-A750-A,"[[0.065384734258, 0.309638553999], [0.182084352489, 0.121177818048], [0.419043889644, 0.060819080224], [0.507955420789, 0.224601089446], [0.559221986611, 0.344735607238], [0.53066536949, 0.475872327857], [0.513145157707, 0.570182659151], [0.522889827936, 0.652302373936], [0.531251626065, 0.688156692428], [0.533683013871, 0.701990586535], [0.523131835706, 0.717064350959], [0.427194902825, 0.773206271704], [0.38563073549, 0.767416274001], [0.293431396434, 0.746378629101], [0.268214866224, 0.724473198223], [0.18778867357, 0.630447073007], [0.125687153091, 0.50200119415]]",F
