gate_id,parent_id,type,channel_x,channel_y,points,population
Gate_G,root,polygon,CD117 PE-A,CD45 APC-A750-A,"[[0.577581150306, 0.533779870862], [0.811530021078, 0.561045447966], [0.829578957188, 0.583508460061], [0.934438112798, 0.779291495553], [0.966862125373, 0.804044234089], [0.949689966559, 0.904723679576], [0.790105632193, 0.839822975406], [0.791190759271, 0.858428532331], [0.797105631661, 0.879771296687], [0.786681979151, 0.87632078162], [0.713216798166, 0.780850201246], [0.687416655904, 0.752260633577], [0.609982102442, 0.662764472163], [0.58257485103, 0.622112454863]]",G
Gate_H,root,polygon,CD34 ECD-A,CD45 APC-A750-A,"[[0.634190500043, 0.681659610099], [0.626108171177, 0.606116728498], [0.64229400871, 0.5646084557], [0.647043565445, 0.557604133297], [0.73348703019, 0.517693439811], [0.745268199787, 0.519761375402], [0.863994831837, 0.74712546642], [0.894153992989, 0.790118978851], [0.814337132865, 0.783182238693], [0.794725275813, 0.790920536971], [0.748627055894, 0.809204137275], [0.661938432838, 0.736003174111], [0.659162942019, 0.729747346446], [0.643599919706, 0.700006196797]]",H
001__C__SSC-A__CD45_APC-A750-A,root,polygon,SSC-A,CD45 APC-A750-A,"[[0.737245563677, 0.852564436747], [0.845329713714, 0.902208272822], [0.7929433834, 0.928819388928], [0.727804556151, 0.958650050499], [0.63856239092, 0.947093419228], [0.632691515878, 0.945043949581], [0.565539634556, 0.910335662077], [0.555369745024, 0.891990933372], [0.59983807058, 0.855208411187], [0.611821472218, 0.847798197372], [0.650115374227, 0.843038340021], [0.657322136285, 0.843471832844]]",C
001__Mono__SSC-A__CD45_APC-A750-A,root,polygon,SSC-A,CD45 APC-A750-A,"[[0.366274945036, 0.872397703199], [0.37770794794, 0.858506454054], [0.400034245925, 0.838160531994], [0.402975252352, 0.836953955045], [0.407869178253, 0.8399377472], [0.415163377638, 0.844926241065], [0.480874587723, 0.91803212306], [0.491693909123, 0.941159660601], [0.478688926141, 0.944539347128], [0.454367059143, 0.949316622793], [0.44866647028, 0.947605790469], [0.393171108984, 0.908121624509], [0.37282250647, 0.888310417513]]",Mono
001__Lym__SSC-A__CD45_APC-A750-A,root,polygon,SSC-A,CD45 APC-A750-A,"[[0.452077171957, 1.005769725706], [0.429851659406, 1.018247798288], [0.361879393056, 0.989434547721], [0.293257594261, 0.960337862466], [0.173731487012, 0.896322911522], [0.154730833476, 0.88551969906], [0.142417755619, 0.865709716041], [0.140802239802, 0.857718136467], [0.142709860409, 0.833160301811], [0.14370889555, 0.82793186805], [0.164994693563, 0.811683510403], [0.190355164806, 0.808524299238], [0.226266349095, 0.8092044604], [0.243318859048, 0.811340789151], [0.32106523247, 0.821603747847], [0.324579433822, 0.823317874617], [0.374574977678, 0.852185272668], [0.468526104071, 0.947532264656], [0.475415645378, 0.95601945269], [0.477574229531, 0.965871203745], [0.457870253181, 0.99718679879]]",Lym
001__Gra__SSC-A__CD45_APC-A750-A,root,polygon,SSC-A,CD45 APC-A750-A,"[[0.34193454835, 0.803398191633], [0.344078656617, 0.738618245896], [0.455363607789, 0.697672372018], [0.485395093909, 0.691746149014], [0.542885627799, 0.682755631014], [0.564069642112, 0.688292765252], [0.620727603981, 0.80427183793], [0.634725982151, 0.828656391524], [0.615502779996, 0.856926635699], [0.599474546373, 0.875034985692], [0.568271396174, 0.903357105213], [0.543508038266, 0.915621837338], [0.468499506399, 0.91609609288], [0.46699931445, 0.915048169174], [0.427439797124, 0.882612534173], [0.37120014159, 0.833502566727], [0.357849936495, 0.821611153002]]",Gra
001__F__SSC-A__CD45_APC-A750-A,root,polygon,SSC-A,CD45 APC-A750-A,"[[0.064381133452, 0.296605018481], [0.182084352489, 0.121177818048], [0.419043889644, 0.060819080224], [0.501298526716, 0.191758070189], [0.56965148509, 0.336218254116], [0.581263614949, 0.494063617486], [0.58227208864, 0.572887214509], [0.572358841346, 0.636653196043], [0.562327429755, 0.67370766722], [0.557224802466, 0.690148383708], [0.532190094337, 0.71330006515], [0.427306265734, 0.773178235495], [0.385645804741, 0.767409140752], [0.293284191634, 0.746378067558], [0.267851339601, 0.724481350218], [0.185007164836, 0.630569240104], [0.120166323709, 0.501198184184]]",F
