sample_id,population,precision,recall,f1,true_count,pred_count,tp,warning
003,C,0.9765203441738369,0.7664835164835165,0.8588469184890656,8736,6857,6696,
003,F,1.0,0.49765944997074313,0.6645829263528032,27344,13608,13608,
003,G,0.4326229233092801,0.5444561774023231,0.482139517486441,4735,5959,2578,
003,Gra,0.8891875220303137,0.8966742940928176,0.8929152148664343,45013,45392,40362,
003,H,0.046368485843249894,0.06029882604055496,0.052424031547204826,5622,7311,339,
003,Lym,0.38980164295732317,0.34050932003150436,0.3634919893502732,11427,9982,3891,
003,Mono,0.0,0.0,0.0,1090,1423,0,
003,UNGATED,0.0,0.0,0.0,0,13435,0,LOW_COUNTS
006,C,0.8807157057654076,1.0,0.9365750528541227,1329,1509,1329,
006,F,1.0,0.8975011568718186,0.945982197293013,4322,3879,3879,
006,G,0.0,0.0,0.0,53,0,0,LOW_COUNTS
006,Gra,0.8252807252498198,0.9891344610445734,0.899809053128159,8099,9707,8011,
006,H,0.5440931780366056,0.26014319809069214,0.3519913885898816,1257,601,327,
006,Lym,0.6689313257436651,1.0,0.8016283419518099,3643,5446,3643,
006,Mono,0.980269989615784,0.2774838330393886,0.43253150057273776,3402,963,944,
